participant_id,trial_number,distribution_type,first_option,second_option,chosen_type,ball_weight,action_selection_conf,success_prediction_conf,balls_in_box,trial_success,trial_reward,cumulative_reward,action_conf_selection_time,action_conf_confirmation_time,prediction_conf_selection_time,prediction_conf_confirmation_time
217,1,narrow_low,wide_high,narrow_low,narrow_low,0.2167358380319801,1.0,1.0,0.0,False,0.0,0.0,8.115999937057495,9.164999961853027,3.7990002632141113,4.715000152587891
217,2,narrow_low,narrow_low,wide_high,narrow_low,0.2271749797770149,3.0,3.0,1.0,False,10.0,10.0,9.516000032424929,10.648000001907349,1.3329999446868896,4.515000104904175
217,3,wide_low,wide_low,wide_high,wide_low,0.3037463362826045,5.0,5.0,1.0,False,11.0,21.0,4.91700005531311,5.664999961853027,3.3819997310638428,3.8989996910095215
217,4,wide_low,wide_low,narrow_high,wide_low,0.1521606239803447,6.0,6.0,1.0,False,11.0,32.0,3.3320000171661377,5.047999858856201,1.6159999370574951,2.0820000171661377
217,5,wide_low,wide_low,narrow_high,wide_low,0.2411641824669738,6.0,6.0,0.0,False,0.0,32.0,2.116000175476074,2.382000207901001,0.7680001258850098,1.0490000247955322
217,6,wide_high,wide_low,wide_high,wide_high,0.2398203370213144,3.0,3.0,1.0,False,18.0,50.0,3.815999984741211,4.7149999141693115,3.065999984741211,3.5320000648498535
217,7,wide_high,wide_low,wide_high,wide_high,0.363168294136639,5.0,5.0,0.0,False,0.0,50.0,2.7829999923706055,3.1319997310638428,0.3330001831054687,0.7150001525878906
217,8,narrow_low,wide_high,narrow_low,narrow_low,0.2015793903326541,5.0,5.0,1.0,False,10.0,60.0,2.9820003509521484,5.049000263214111,1.7330000400543213,2.065999984741211
217,9,narrow_high,wide_high,narrow_high,narrow_high,0.294331596868091,4.0,4.0,1.0,False,14.0,74.0,17.331000089645386,18.312999963760376,0.9330000877380372,1.315999984741211
217,10,narrow_high,narrow_high,narrow_low,narrow_high,0.268415907586417,5.0,5.0,1.0,False,14.0,88.0,2.3489999771118164,2.7659997940063477,0.7839999198913574,1.0999999046325684
217,11,narrow_high,narrow_high,wide_high,narrow_high,0.3159315080602746,5.0,5.0,0.0,False,0.0,88.0,2.500000238418579,3.06600022315979,0.6000001430511475,1.0490000247955322
217,12,narrow_low,narrow_low,wide_high,narrow_low,0.2273609064251644,4.0,4.0,1.0,False,10.0,98.0,8.999000072479248,9.348000288009644,1.0849997997283936,1.431999921798706
217,13,wide_low,wide_high,wide_low,wide_low,0.2474077478349061,5.0,5.0,0.0,False,0.0,98.0,2.449000120162964,2.8980002403259277,0.0140001773834228,0.7000000476837158
217,14,narrow_low,narrow_high,narrow_low,narrow_low,0.2043674689090353,4.0,4.0,1.0,False,10.0,108.0,4.249000072479248,4.61400032043457,0.6510000228881836,0.8330001831054688
217,15,wide_low,narrow_low,wide_low,wide_low,0.2041681348225749,5.0,5.0,1.0,False,11.0,119.0,6.281999826431274,7.164000034332275,1.3840000629425049,2.0329999923706055
217,16,narrow_low,narrow_low,wide_high,narrow_low,0.1993275147677813,6.0,6.0,1.0,False,10.0,129.0,4.250000238418579,5.0329999923706055,0.7160000801086426,1.067000150680542
217,17,wide_low,narrow_high,wide_low,wide_low,0.1837541461125535,6.0,6.0,1.0,False,11.0,140.0,2.251000165939331,2.683000087738037,1.1499998569488523,1.4660000801086426
217,18,wide_low,narrow_high,wide_low,wide_low,0.1827824440384026,5.0,6.0,1.0,False,11.0,151.0,1.4670000076293943,2.0,2.0989999771118164,2.8320000171661377
217,19,narrow_low,narrow_low,wide_high,narrow_low,0.2356670072189227,6.0,6.0,1.0,False,10.0,161.0,2.115999937057495,2.4489998817443848,0.4980001449584961,0.8480000495910645
217,20,narrow_high,wide_high,narrow_high,narrow_high,0.3223753672427902,4.0,4.0,0.0,False,0.0,161.0,1.9150002002716064,2.2980000972747803,0.567000150680542,0.8989999294281006
217,21,wide_low,narrow_low,wide_low,wide_low,0.2052679476449675,5.0,5.0,1.0,False,11.0,172.0,3.965999841690063,5.197999954223633,0.9330000877380372,1.316999912261963
217,22,narrow_low,narrow_high,narrow_low,narrow_low,0.2452802263994408,6.0,5.0,1.0,False,10.0,182.0,4.7820000648498535,5.582000017166138,5.183000087738037,5.765999794006348
